module.base.level4.tree2.tree1.conv1.weight [256,256,3,3]
module.base.level4.tree2.tree1.bn1.weight [256]
module.base.level4.tree2.tree1.bn1.bias [256]
module.base.level4.tree2.tree1.bn1.running_mean [256]
module.base.level4.tree2.tree1.bn1.running_var [256]
module.base.level4.tree2.tree1.conv2.weight [256,256,3,3]
module.base.level4.tree2.tree1.bn2.weight [256]
module.base.level4.tree2.tree1.bn2.bias [256]
module.base.level4.tree2.tree1.bn2.running_mean [256]
module.base.level4.tree2.tree1.bn2.running_var [256]
module.base.level4.tree2.tree2.conv1.weight [256,256,3,3]
module.base.level4.tree2.tree2.bn1.weight [256]
module.base.level4.tree2.tree2.bn1.bias [256]
module.base.level4.tree2.tree2.bn1.running_mean [256]
module.base.level4.tree2.tree2.bn1.running_var [256]
module.base.level4.tree2.tree2.conv2.weight [256,256,3,3]
module.base.level4.tree2.tree2.bn2.weight [256]
module.base.level4.tree2.tree2.bn2.bias [256]
module.base.level4.tree2.tree2.bn2.running_mean [256]
module.base.level4.tree2.tree2.bn2.running_var [256]
module.base.level4.tree2.root.conv.weight [256,896,1,1]
module.base.level4.tree2.root.bn.weight [256]
module.base.level4.tree2.root.bn.bias [256]
module.base.level4.tree2.root.bn.running_mean [256]
module.base.level4.tree2.root.bn.running_var [256]
module.base.level4.project.0.weight [256,128,1,1]
module.base.level4.project.1.weight [256]
module.base.level4.project.1.bias [256]
module.base.level4.project.1.running_mean [256]
module.base.level4.project.1.running_var [256]
module.base.level5.tree1.conv1.weight [512,256,3,3]
module.base.level5.tree1.bn1.weight [512]
module.base.level5.tree1.bn1.bias [512]
module.base.level5.tree1.bn1.running_mean [512]
module.base.level5.tree1.bn1.running_var [512]
module.base.level5.tree1.conv2.weight [512,512,3,3]
module.base.level5.tree1.bn2.weight [512]
module.base.level5.tree1.bn2.bias [512]
module.base.level5.tree1.bn2.running_mean [512]
module.base.level5.tree1.bn2.running_var [512]
module.base.level5.tree2.conv1.weight [512,512,3,3]
module.base.level5.tree2.bn1.weight [512]
module.base.level5.tree2.bn1.bias [512]
module.base.level5.tree2.bn1.running_mean [512]
module.base.level5.tree2.bn1.running_var [512]
module.base.level5.tree2.conv2.weight [512,512,3,3]
module.base.level5.tree2.bn2.weight [512]
module.base.level5.tree2.bn2.bias [512]
module.base.level5.tree2.bn2.running_mean [512]
module.base.level5.tree2.bn2.running_var [512]
module.base.level5.root.conv.weight [512,1280,1,1]
module.base.level5.root.bn.weight [512]
module.base.level5.root.bn.bias [512]
module.base.level5.root.bn.running_mean [512]
module.base.level5.root.bn.running_var [512]
module.base.level5.project.0.weight [512,256,1,1]
module.base.level5.project.1.weight [512]
module.base.level5.project.1.bias [512]
module.base.level5.project.1.running_mean [512]
module.base.level5.project.1.running_var [512]
module.dla_up.ida_0.proj_1.actf.0.weight [256]
module.dla_up.ida_0.proj_1.actf.0.bias [256]
module.dla_up.ida_0.proj_1.actf.0.running_mean [256]
module.dla_up.ida_0.proj_1.actf.0.running_var [256]
module.dla_up.ida_0.proj_1.conv.conv_offset_mask.weight [27,512,3,3]
module.dla_up.ida_0.proj_1.conv.conv_offset_mask.bias [27]
module.dla_up.ida_0.proj_1.conv.weight [256,512,3,3]
module.dla_up.ida_0.proj_1.conv.bias [256]
module.dla_up.ida_0.up_1.weight [256,1,4,4]
module.dla_up.ida_0.node_1.actf.0.weight [256]
module.dla_up.ida_0.node_1.actf.0.bias [256]
module.dla_up.ida_0.node_1.actf.0.running_mean [256]
module.dla_up.ida_0.node_1.actf.0.running_var [256]
module.dla_up.ida_0.node_1.conv.conv_offset_mask.weight [27,256,3,3]
module.dla_up.ida_0.node_1.conv.conv_offset_mask.bias [27]
module.dla_up.ida_0.node_1.conv.weight [256,256,3,3]
module.dla_up.ida_0.node_1.conv.bias [256]
module.dla_up.ida_1.proj_1.actf.0.weight [128]
module.dla_up.ida_1.proj_1.actf.0.bias [128]
module.dla_up.ida_1.proj_1.actf.0.running_mean [128]
module.dla_up.ida_1.proj_1.actf.0.running_var [128]
module.dla_up.ida_1.proj_1.conv.conv_offset_mask.weight [27,256,3,3]
module.dla_up.ida_1.proj_1.conv.conv_offset_mask.bias [27]
module.dla_up.ida_1.proj_1.conv.weight [128,256,3,3]
module.dla_up.ida_1.proj_1.conv.bias [128]
module.dla_up.ida_1.up_1.weight [128,1,4,4]
module.dla_up.ida_1.node_1.actf.0.weight [128]
module.dla_up.ida_1.node_1.actf.0.bias [128]
module.dla_up.ida_1.node_1.actf.0.running_mean [128]
module.dla_up.ida_1.node_1.actf.0.running_var [128]
module.dla_up.ida_1.node_1.conv.conv_offset_mask.weight [27,128,3,3]
module.dla_up.ida_1.node_1.conv.conv_offset_mask.bias [27]
module.dla_up.ida_1.node_1.conv.weight [128,128,3,3]
module.dla_up.ida_1.node_1.conv.bias [128]
module.dla_up.ida_1.proj_2.actf.0.weight [128]
module.dla_up.ida_1.proj_2.actf.0.bias [128]
module.dla_up.ida_1.proj_2.actf.0.running_mean [128]
module.dla_up.ida_1.proj_2.actf.0.running_var [128]
module.dla_up.ida_1.proj_2.conv.conv_offset_mask.weight [27,256,3,3]
module.dla_up.ida_1.proj_2.conv.conv_offset_mask.bias [27]
module.dla_up.ida_1.proj_2.conv.weight [128,256,3,3]
module.dla_up.ida_1.proj_2.conv.bias [128]
module.dla_up.ida_1.up_2.weight [128,1,4,4]
module.dla_up.ida_1.node_2.actf.0.weight [128]
module.dla_up.ida_1.node_2.actf.0.bias [128]
module.dla_up.ida_1.node_2.actf.0.running_mean [128]
module.dla_up.ida_1.node_2.actf.0.running_var [128]
module.dla_up.ida_1.node_2.conv.conv_offset_mask.weight [27,128,3,3]
module.dla_up.ida_1.node_2.conv.conv_offset_mask.bias [27]
module.dla_up.ida_1.node_2.conv.weight [128,128,3,3]
module.dla_up.ida_1.node_2.conv.bias [128]
module.dla_up.ida_2.proj_1.actf.0.weight [64]
module.dla_up.ida_2.proj_1.actf.0.bias [64]
module.dla_up.ida_2.proj_1.actf.0.running_mean [64]
module.dla_up.ida_2.proj_1.actf.0.running_var [64]
module.dla_up.ida_2.proj_1.conv.conv_offset_mask.weight [27,128,3,3]
module.dla_up.ida_2.proj_1.conv.conv_offset_mask.bias [27]
module.dla_up.ida_2.proj_1.conv.weight [64,128,3,3]
module.dla_up.ida_2.proj_1.conv.bias [64]
module.dla_up.ida_2.up_1.weight [64,1,4,4]
module.dla_up.ida_2.node_1.actf.0.weight [64]
module.dla_up.ida_2.node_1.actf.0.bias [64]
module.dla_up.ida_2.node_1.actf.0.running_mean [64]
module.dla_up.ida_2.node_1.actf.0.running_var [64]
module.dla_up.ida_2.node_1.conv.conv_offset_mask.weight [27,64,3,3]
module.dla_up.ida_2.node_1.conv.conv_offset_mask.bias [27]
module.dla_up.ida_2.node_1.conv.weight [64,64,3,3]
module.dla_up.ida_2.node_1.conv.bias [64]
module.dla_up.ida_2.proj_2.actf.0.weight [64]
module.dla_up.ida_2.proj_2.actf.0.bias [64]
module.dla_up.ida_2.proj_2.actf.0.running_mean [64]
module.dla_up.ida_2.proj_2.actf.0.running_var [64]
module.dla_up.ida_2.proj_2.conv.conv_offset_mask.weight [27,128,3,3]
module.dla_up.ida_2.proj_2.conv.conv_offset_mask.bias [27]
module.dla_up.ida_2.proj_2.conv.weight [64,128,3,3]
module.dla_up.ida_2.proj_2.conv.bias [64]
module.dla_up.ida_2.up_2.weight [64,1,4,4]
module.dla_up.ida_2.node_2.actf.0.weight [64]
module.dla_up.ida_2.node_2.actf.0.bias [64]
module.dla_up.ida_2.node_2.actf.0.running_mean [64]
module.dla_up.ida_2.node_2.actf.0.running_var [64]
module.dla_up.ida_2.node_2.conv.conv_offset_mask.weight [27,64,3,3]
module.dla_up.ida_2.node_2.conv.conv_offset_mask.bias [27]
module.dla_up.ida_2.node_2.conv.weight [64,64,3,3]
module.dla_up.ida_2.node_2.conv.bias [64]
module.dla_up.ida_2.proj_3.actf.0.weight [64]
module.dla_up.ida_2.proj_3.actf.0.bias [64]
module.dla_up.ida_2.proj_3.actf.0.running_mean [64]
module.dla_up.ida_2.proj_3.actf.0.running_var [64]
module.dla_up.ida_2.proj_3.conv.conv_offset_mask.weight [27,128,3,3]
module.dla_up.ida_2.proj_3.conv.conv_offset_mask.bias [27]
module.dla_up.ida_2.proj_3.conv.weight [64,128,3,3]
module.dla_up.ida_2.proj_3.conv.bias [64]
module.dla_up.ida_2.up_3.weight [64,1,4,4]
module.dla_up.ida_2.node_3.actf.0.weight [64]
